time	date	datetime	milliseconds	mean	median	upper	lower
2023.6082	2023-08-10	2023-08-10T04:49:55	1691642995724	3.0139667466104787	1.8311052689846574	1977.011679504036	0.010273549733423426
2023.5720775510204	2023-07-28	2023-07-28T00:23:58	1690503838174	2.6809289178389952	1.7258301520622756	1139.2880533623324	0.035878018404572824
2023.5359551020408	2023-07-14	2023-07-14T19:58:00	1689364680623	1.5493536496676272	1.0889230109519625	260.1387016724267	0.013754228092089987
2023.4998326530613	2023-07-01	2023-07-01T15:32:03	1688225523072	0.7424351573237195	0.5351887184908782	114.23330164573484	0.007188721578618663
2023.4637102040817	2023-06-18	2023-06-18T11:06:05	1687086365521	0.3118441147092419	0.2208927143526731	28.81655812842255	0.00603585540154435
2023.4275877551022	2023-06-05	2023-06-05T06:40:07	1685947207970	0.2060278000011501	0.15966561324829565	13.638316458890705	0.004924294647520013
2023.3914653061227	2023-05-23	2023-05-23T02:14:10	1684808050419	0.6649007664575861	0.5057283972478032	27.88459990949821	0.02188127434472773
2023.3553428571431	2023-05-09	2023-05-09T21:48:12	1683668892868	2.8476069616871467	2.265199146833049	179.8463034635469	0.060280751181727675
2023.3192204081636	2023-04-26	2023-04-26T17:22:15	1682529735317	11.93222841171365	8.97357637664418	678.8892721892666	0.24202350347777227
2023.283097959184	2023-04-13	2023-04-13T12:56:17	1681390577766	33.464329540671926	24.69909436624772	2041.7996140500095	0.9191971712173366
2023.2469755102045	2023-03-31	2023-03-31T08:30:20	1680251420215	62.11927826203433	43.380654889192826	4820.563895068408	1.955238607519593
2023.210853061225	2023-03-18	2023-03-18T04:04:22	1679112262664	70.09258413109747	50.29160085899528	5047.635582091208	2.6674253312716836
2023.1747306122454	2023-03-04	2023-03-04T23:38:25	1677973105113	59.587637929501646	42.91236513978356	2643.166093790268	2.783486131528417
2023.1386081632659	2023-02-19	2023-02-19T19:12:27	1676833947562	43.708033269086215	32.56732015907526	1180.894761983713	3.467084924958478
2023.1024857142863	2023-02-06	2023-02-06T14:46:30	1675694790011	29.60234989471163	22.906361667374092	549.6830518386546	2.6184759519573793
2023.0663632653068	2023-01-24	2023-01-24T10:20:32	1674555632460	15.849357283096618	12.178581584971852	244.06659172424762	1.9424176698492228
2023.0302408163273	2023-01-11	2023-01-11T05:54:34	1673416474909	11.856217394101666	9.351684752253341	130.38162066026626	1.5390335565322641
2022.9941183673477	2022-12-29	2022-12-29T01:28:37	1672277317358	14.992698948517388	12.099027819949368	207.35578810999533	1.6198353492475814
2022.9579959183682	2022-12-15	2022-12-15T21:02:39	1671138159807	17.14427708776104	13.972056423498643	279.8002575541465	1.8912735549297006
2022.9218734693886	2022-12-02	2022-12-02T16:36:42	1669999002256	19.621840602938782	16.41284537251493	209.50268283778152	2.356837131923761
2022.885751020409	2022-11-19	2022-11-19T12:10:44	1668859844705	45.036892311151824	38.59115348748955	484.12245722152375	4.910514537477804
2022.8496285714295	2022-11-06	2022-11-06T07:44:47	1667720687155	35.72846941418479	28.090947062492987	635.8191115653781	3.100747789269769
2022.81350612245	2022-10-24	2022-10-24T03:18:49	1666581529604	39.075221463244375	32.745545358141705	481.55231629192474	4.3556936956941374
2022.7773836734705	2022-10-10	2022-10-10T22:52:52	1665442372053	48.78358196843603	40.28635550303532	695.4021798593111	5.576874698521738
2022.741261224491	2022-09-27	2022-09-27T18:26:54	1664303214502	45.24703603659835	35.163093166164806	753.74412034713	5.184455877138094
2022.7051387755114	2022-09-14	2022-09-14T14:00:56	1663164056951	45.71808449519032	37.17659370990116	677.5851417739118	5.40094003354718
2022.6690163265318	2022-09-01	2022-09-01T09:34:59	1662024899400	16.370018434325768	13.578832583122209	233.731626267944	1.581008292657265
2022.6328938775523	2022-08-19	2022-08-19T05:09:01	1660885741849	2.3302226651259486	1.7108297895831772	21.14805025821653	0.7588385658131628
2022.5967714285728	2022-08-06	2022-08-06T00:43:04	1659746584298	8.36531699587686	6.834652722737033	70.58562857633332	1.224214863399493
2022.5606489795932	2022-07-23	2022-07-23T20:17:06	1658607426747	26.021929730115325	21.71608493942561	343.1919688945287	2.2231179656969653
2022.5245265306137	2022-07-10	2022-07-10T15:51:09	1657468269196	67.43305444133779	57.093256005910646	1274.9118238769156	5.075947346708651
2022.4884040816341	2022-06-27	2022-06-27T11:25:11	1656329111645	79.76428483719897	65.73169673286242	1524.2670230975334	7.898128301297549
2022.4522816326546	2022-06-14	2022-06-14T06:59:14	1655189954094	27.855101391448702	23.515344214692693	355.20034250758664	3.429313924002312
2022.416159183675	2022-06-01	2022-06-01T02:33:16	1654050796543	5.208670459719378	4.484237109066605	29.006140347586157	1.2716923912240026
2022.3800367346955	2022-05-18	2022-05-18T22:07:18	1652911638992	3.235791593137854	2.7789980765264737	16.506155544419656	0.907457316259074
2022.343914285716	2022-05-05	2022-05-05T17:41:21	1651772481441	2.30713498769615	2.177310011628743	5.8883838307899	1.040028399399297
2022.3077918367364	2022-04-22	2022-04-22T13:15:23	1650633323890	7.623842286823498	6.875809692997307	19.87484305762251	3.220427909439163
2022.271669387757	2022-04-09	2022-04-09T08:49:26	1649494166339	81.11380255213834	70.60931097129499	510.40681960841033	17.19056806970338
2022.2355469387774	2022-03-27	2022-03-27T04:23:28	1648355008788	111.6839174236512	88.93367891168762	961.843405117422	19.789413312560477
2022.1994244897978	2022-03-13	2022-03-13T23:57:31	1647215851237	73.60422000902385	59.262192028010276	454.26688946854404	16.072439797377186
2022.1633020408183	2022-02-28	2022-02-28T19:31:33	1646076693686	71.51259457797637	57.91156152523134	1024.0382274617857	10.331078178139675
2022.1271795918387	2022-02-15	2022-02-15T15:05:36	1644937536135	1.5299557047432164	1.0108680787472506	55.166256433409515	0.5352893321127624
2022.0910571428592	2022-02-02	2022-02-02T10:39:38	1643798378584	6.46889331544751	4.6049432535355495	116.19169181844183	1.0477401403360729
2022.0549346938797	2022-01-20	2022-01-20T06:13:41	1642659221034	3.976855167443498	3.0569138073373123	31.712552467258458	0.7489056480294887
2022.0188122449001	2022-01-07	2022-01-07T01:47:43	1641520063483	15.103754139670995	11.340113791529248	297.7089892403148	1.7678580002831092
2021.9826897959206	2021-12-24	2021-12-24T21:21:45	1640380905932	9.366704685342777	6.893065661207871	231.7665018145393	0.6451618044173094
2021.946567346941	2021-12-11	2021-12-11T16:55:48	1639241748381	3.0399249465756415	2.3102791696210496	253.27299870372437	0.11369832647199153
2021.9104448979615	2021-11-28	2021-11-28T12:29:50	1638102590830	0.6504660047107497	0.5613599055481713	22.938162623176943	0.01741730867325108
2021.874322448982	2021-11-15	2021-11-15T08:03:53	1636963433279	0.15934940751257431	0.10795298695867413	10.600947808166751	0.009443342828241906
2021.8382000000024	2021-11-02	2021-11-02T03:37:55	1635824275728	0.06378180256815565	0.06332201475796752	0.7625559137174627	0.0037565973514061975
2021.8382000000024	2021-11-02	2021-11-02T03:37:55	1635824275728	0.06378180256815565	0.06332201475796752	0.7625559137174627	0.0037565973514061975
2021.8020775510229	2021-10-19	2021-10-19T23:11:58	1634685118177	0.06378180256815565	0.06332201475796752	0.7625559137174627	0.0037565973514061975
2021.7659551020433	2021-10-06	2021-10-06T18:46:00	1633545960626	0.06378180256815565	0.06332201475796752	0.7625559137174627	0.0037565973514061975
2021.7298326530638	2021-09-23	2021-09-23T14:20:03	1632406803075	0.06378180256815565	0.06332201475796752	0.7625559137174627	0.0037565973514061975
2021.6937102040843	2021-09-10	2021-09-10T09:54:05	1631267645524	0.06378180256815565	0.06332201475796752	0.7625559137174627	0.0037565973514061975
2021.6575877551047	2021-08-28	2021-08-28T05:28:07	1630128487972	0.06378180256815565	0.06332201475796752	0.7625559137174627	0.0037565973514061975
2021.6214653061252	2021-08-15	2021-08-15T01:02:10	1628989330421	0.06378180256815565	0.06332201475796752	0.7625559137174627	0.0037565973514061975
2021.5853428571456	2021-08-01	2021-08-01T20:36:12	1627850172870	0.06378180256815565	0.06332201475796752	0.7625559137174627	0.0037565973514061975
2021.549220408166	2021-07-19	2021-07-19T16:10:15	1626711015319	0.06378180256815565	0.06332201475796752	0.7625559137174627	0.0037565973514061975
2021.5130979591866	2021-07-06	2021-07-06T11:44:17	1625571857768	0.06378180256815565	0.06332201475796752	0.7625559137174627	0.0037565973514061975
2021.476975510207	2021-06-23	2021-06-23T07:18:20	1624432700217	0.06378180256815565	0.06332201475796752	0.7625559137174627	0.0037565973514061975
2021.4408530612275	2021-06-10	2021-06-10T02:52:22	1623293542666	0.06378180256815565	0.06332201475796752	0.7625559137174627	0.0037565973514061975
