order,order_condensed
rheiformes,galliformes
falconiformes,accipitriformes
apodiformes,passeriformes
podicipediformes,charadriiformes
artiodactyla,nonhuman-mammal
carnivora,nonhuman-mammal
casuariiformes,galliformes
didelphimorphia,nonhuman-mammal
gaviiformes,charadriiformes
suliformes,charadriiformes
pelecaniformes,charadriiformes
psittaciformes,galliformes
gruiformes,charadriiformes
galliformes,galliformes
accipitriformes,accipitriformes
passeriformes,passeriformes
charadriiformes,charadriiformes
nonhuman-mammal,nonhuman-mammal
anseriformes,anseriformes
strigiformes,strigiformes